ID_obra,Tipo_ladrillo,Altura_muro,Ancho_muro,Espesor_muro,Area_muro,Cantidad_ladrillos,Cemento (Kg),Cal (Kg),Arena (m3),Cemento_albañilería (Kg)
261,Ceramico no portante 8x18x33,2.68,2.33,0.1,6.24,170.0,0.0,0.0,0.094,17.48
262,Ceramico no portante 8x18x33,2.85,2.88,0.1,8.21,269.0,21.34,20.52,0.098,0.0
263,Ceramico no portante 8x18x33,2.85,3.73,0.1,10.63,289.0,0.0,0.0,0.159,29.77
264,Ceramico no portante 8x18x33,2.66,2.91,0.1,7.74,255.0,0.0,0.0,0.116,21.67
265,Ceramico no portante 8x18x33,1.9,3.61,0.1,6.86,194.0,17.83,17.15,0.082,0.0
266,Ceramico no portante 8x18x33,2.36,5.47,0.1,12.91,404.0,33.56,32.27,0.155,0.0
267,Ceramico no portante 8x18x33,2.68,5.07,0.1,13.59,408.0,0.0,0.0,0.204,38.05
268,Ceramico no portante 8x18x33,2.49,3.75,0.1,9.34,292.0,24.28,23.34,0.112,0.0
269,Ceramico no portante 8x18x33,2.88,3.69,0.1,10.63,304.0,27.63,26.57,0.128,0.0
270,Ceramico no portante 8x18x33,2.23,3.54,0.1,7.89,235.0,0.0,0.0,0.118,22.1
271,Ceramico no portante 8x18x33,2.73,3.62,0.1,9.88,302.0,25.69,24.71,0.119,0.0
272,Ceramico no portante 8x18x33,2.97,2.72,0.1,8.08,259.0,0.0,0.0,0.121,22.62
273,Ceramico no portante 8x18x33,1.92,3.62,0.1,6.95,212.0,0.0,0.0,0.104,19.46
274,Ceramico no portante 8x18x33,2.51,2.65,0.1,6.65,195.0,0.0,0.0,0.1,18.62
275,Ceramico no portante 8x18x33,1.81,4.35,0.1,7.87,240.0,20.47,19.68,0.094,0.0
276,Ceramico no portante 8x18x33,2.34,2.94,0.1,6.88,188.0,17.89,17.2,0.083,0.0
277,Ceramico no portante 8x18x33,2.2,5.32,0.1,11.7,346.0,30.43,29.26,0.14,0.0
278,Ceramico no portante 8x18x33,2.65,2.67,0.1,7.08,198.0,0.0,0.0,0.106,19.81
279,Ceramico no portante 8x18x33,2.6,3.9,0.1,10.14,325.0,26.36,25.35,0.122,0.0
280,Ceramico no portante 8x18x33,2.84,2.82,0.1,8.01,221.0,20.82,20.02,0.096,0.0
281,Ceramico no portante 8x18x33,1.95,2.92,0.1,5.69,155.0,0.0,0.0,0.085,15.94
282,Ceramico no portante 8x18x33,2.02,2.35,0.1,4.75,131.0,0.0,0.0,0.071,13.29
283,Ceramico no portante 8x18x33,1.98,5.95,0.1,11.78,386.0,0.0,0.0,0.177,32.99
284,Ceramico no portante 8x18x33,2.19,5.89,0.1,12.9,393.0,0.0,0.0,0.193,36.12
285,Ceramico no portante 8x18x33,2.21,4.13,0.1,9.13,253.0,0.0,0.0,0.137,25.56
286,Ceramico no portante 8x18x33,2.93,4.93,0.1,14.44,404.0,0.0,0.0,0.217,40.45
287,Ceramico no portante 8x18x33,2.08,5.85,0.1,12.17,347.0,0.0,0.0,0.183,34.07
288,Ceramico no portante 8x18x33,2.62,3.99,0.1,10.45,321.0,27.18,26.13,0.125,0.0
289,Ceramico no portante 8x18x33,1.94,5.18,0.1,10.05,326.0,0.0,0.0,0.151,28.14
290,Ceramico no portante 8x18x33,2.59,3.58,0.1,9.27,286.0,24.11,23.18,0.111,0.0
291,Ceramico no portante 8x18x33,1.86,5.91,0.1,10.99,323.0,0.0,0.0,0.165,30.78
292,Ceramico no portante 8x18x33,1.91,3.15,0.1,6.02,166.0,15.64,15.04,0.072,0.0
293,Ceramico no portante 8x18x33,2.19,4.67,0.1,10.23,325.0,0.0,0.0,0.153,28.64
294,Ceramico no portante 8x18x33,2.18,5.48,0.1,11.95,349.0,31.06,29.87,0.143,0.0
295,Ceramico no portante 8x18x33,2.19,3.47,0.1,7.6,223.0,19.76,19.0,0.091,0.0
296,Ceramico no portante 8x18x33,2.34,2.95,0.1,6.9,201.0,17.95,17.26,0.083,0.0
297,Ceramico no portante 8x18x33,2.5,2.67,0.1,6.68,205.0,0.0,0.0,0.1,18.69
298,Ceramico no portante 8x18x33,2.26,5.45,0.1,12.32,370.0,32.02,30.79,0.148,0.0
299,Ceramico no portante 8x18x33,2.78,2.44,0.1,6.78,189.0,17.64,16.96,0.081,0.0
300,Ceramico no portante 8x18x33,2.44,4.43,0.1,10.81,341.0,28.1,27.02,0.13,0.0
301,Cerámico portante 19x12x39,2.66,4.08,0.15,10.85,144.0,0.0,0.0,0.141,27.13
302,Cerámico portante 19x12x39,2.95,4.62,0.15,13.63,166.0,0.0,0.0,0.177,34.07
303,Cerámico portante 19x12x39,2.22,2.41,0.15,5.35,66.0,3.48,13.38,0.064,0.0
304,Cerámico portante 19x12x39,2.6,5.72,0.15,14.87,187.0,0.0,0.0,0.193,37.18
305,Cerámico portante 19x12x39,2.66,3.6,0.15,9.58,131.0,0.0,0.0,0.124,23.94
306,Cerámico portante 19x12x39,2.76,2.74,0.15,7.56,90.0,0.0,0.0,0.098,18.91
307,Cerámico portante 19x12x39,2.11,5.85,0.15,12.34,153.0,8.02,30.86,0.148,0.0
308,Cerámico portante 19x12x39,2.25,4.11,0.15,9.25,106.0,6.01,23.12,0.111,0.0
309,Cerámico portante 19x12x39,2.42,4.37,0.15,10.58,139.0,0.0,0.0,0.137,26.44
310,Cerámico portante 19x12x39,2.29,5.36,0.15,12.27,165.0,0.0,0.0,0.16,30.69
311,Cerámico portante 19x12x39,2.11,3.21,0.15,6.77,88.0,0.0,0.0,0.088,16.93
312,Cerámico portante 19x12x39,2.6,2.38,0.15,6.19,79.0,4.02,15.47,0.074,0.0
313,Cerámico portante 19x12x39,2.0,4.95,0.15,9.9,132.0,6.44,24.75,0.119,0.0
314,Cerámico portante 19x12x39,2.17,2.92,0.15,6.34,74.0,0.0,0.0,0.082,15.84
315,Cerámico portante 19x12x39,2.27,4.38,0.15,9.94,124.0,6.46,24.86,0.119,0.0
316,Cerámico portante 19x12x39,2.63,3.62,0.15,9.52,117.0,6.19,23.8,0.114,0.0
317,Cerámico portante 19x12x39,1.82,3.36,0.15,6.12,81.0,3.97,15.29,0.073,0.0
318,Cerámico portante 19x12x39,2.49,3.1,0.15,7.72,88.0,0.0,0.0,0.1,19.3
319,Cerámico portante 19x12x39,2.51,3.6,0.15,9.04,109.0,5.87,22.59,0.108,0.0
320,Cerámico portante 19x12x39,1.88,4.08,0.15,7.67,87.0,4.99,19.18,0.092,0.0
321,Cerámico portante 19x12x39,2.57,3.08,0.15,7.92,100.0,5.15,19.79,0.095,0.0
322,Cerámico portante 19x12x39,2.19,3.33,0.15,7.29,94.0,0.0,0.0,0.095,18.23
323,Cerámico portante 19x12x39,2.47,4.92,0.15,12.15,150.0,0.0,0.0,0.158,30.38
324,Cerámico portante 19x12x39,1.91,5.85,0.15,11.17,143.0,0.0,0.0,0.145,27.93
325,Cerámico portante 19x12x39,2.44,2.39,0.15,5.83,72.0,3.79,14.58,0.07,0.0
326,Cerámico portante 19x12x39,2.16,5.92,0.15,12.79,159.0,8.31,31.97,0.153,0.0
327,Cerámico portante 19x12x39,1.98,5.97,0.15,11.82,160.0,7.68,29.55,0.142,0.0
328,Cerámico portante 19x12x39,2.61,2.37,0.15,6.19,73.0,4.02,15.46,0.074,0.0
329,Cerámico portante 19x12x39,2.79,5.13,0.15,14.31,186.0,9.3,35.78,0.172,0.0
330,Cerámico portante 19x12x39,2.07,3.37,0.15,6.98,85.0,4.53,17.44,0.084,0.0
331,Cerámico portante 19x12x39,2.46,3.22,0.15,7.92,96.0,5.15,19.8,0.095,0.0
332,Cerámico portante 19x12x39,1.99,5.15,0.15,10.25,130.0,6.66,25.62,0.123,0.0
333,Cerámico portante 19x12x39,2.4,3.59,0.15,8.62,108.0,0.0,0.0,0.112,21.54
334,Cerámico portante 19x12x39,2.85,5.47,0.15,15.59,206.0,0.0,0.0,0.203,38.97
335,Cerámico portante 19x12x39,1.9,3.61,0.15,6.86,80.0,0.0,0.0,0.089,17.15
336,Cerámico portante 19x12x39,2.95,4.29,0.15,12.66,171.0,0.0,0.0,0.165,31.64
337,Cerámico portante 19x12x39,2.83,5.69,0.15,16.1,200.0,10.47,40.26,0.193,0.0
338,Cerámico portante 19x12x39,2.01,4.01,0.15,8.06,98.0,0.0,0.0,0.105,20.15
339,Cerámico portante 19x12x39,1.88,2.1,0.15,3.95,45.0,0.0,0.0,0.051,9.87
340,Cerámico portante 19x12x39,2.73,2.49,0.15,6.8,86.0,0.0,0.0,0.088,16.99
341,Cerámico portante 19x12x39,2.13,5.41,0.15,11.52,129.0,0.0,0.0,0.15,28.81
342,Cerámico portante 19x12x39,2.58,2.61,0.15,6.73,76.0,0.0,0.0,0.088,16.83
343,Cerámico portante 19x12x39,2.05,3.94,0.15,8.08,106.0,0.0,0.0,0.105,20.19
344,Cerámico portante 19x12x39,2.09,2.57,0.15,5.37,62.0,3.49,13.43,0.064,0.0
345,Cerámico portante 19x12x39,2.63,2.25,0.15,5.92,74.0,3.85,14.79,0.071,0.0
346,Cerámico portante 19x12x39,2.54,3.23,0.15,8.2,105.0,5.33,20.51,0.098,0.0
347,Cerámico portante 19x12x39,2.75,3.62,0.15,9.96,128.0,6.47,24.89,0.119,0.0
348,Cerámico portante 19x12x39,2.38,2.71,0.15,6.45,78.0,0.0,0.0,0.084,16.12
349,Cerámico portante 19x12x39,2.3,3.93,0.15,9.04,102.0,5.88,22.6,0.108,0.0
350,Cerámico portante 19x12x39,2.62,2.76,0.15,7.23,92.0,0.0,0.0,0.094,18.08
351,Cerámico portante 19x12x39,2.09,5.9,0.15,12.33,163.0,0.0,0.0,0.16,30.83
352,Cerámico portante 19x12x39,1.93,4.19,0.15,8.09,100.0,5.26,20.22,0.097,0.0
353,Cerámico portante 19x12x39,1.95,5.46,0.15,10.65,126.0,0.0,0.0,0.138,26.62
354,Cerámico portante 19x12x39,2.54,5.44,0.15,13.82,169.0,8.98,34.54,0.166,0.0
355,Cerámico portante 19x12x39,2.95,5.15,0.15,15.19,182.0,9.88,37.98,0.182,0.0
356,Cerámico portante 19x12x39,1.89,3.12,0.15,5.9,80.0,0.0,0.0,0.077,14.74
357,Cerámico portante 19x12x39,2.56,4.64,0.15,11.88,160.0,0.0,0.0,0.154,29.7
358,Cerámico portante 19x12x39,2.87,3.8,0.15,10.91,146.0,7.09,27.26,0.131,0.0
359,Cerámico portante 19x12x39,2.33,2.19,0.15,5.1,57.0,3.32,12.76,0.061,0.0
360,Cerámico portante 19x12x39,2.76,2.42,0.15,6.68,75.0,4.34,16.7,0.08,0.0
361,Cerámico portante 19x12x39,2.22,3.19,0.15,7.08,85.0,0.0,0.0,0.092,17.7
362,Cerámico portante 19x12x39,2.74,3.42,0.15,9.37,115.0,6.09,23.43,0.112,0.0
363,Cerámico portante 19x12x39,2.72,3.06,0.15,8.32,94.0,0.0,0.0,0.108,20.81
364,Cerámico portante 19x12x39,2.15,5.08,0.15,10.92,139.0,7.1,27.3,0.131,0.0
365,Cerámico portante 19x12x39,1.95,4.46,0.15,8.7,114.0,5.65,21.74,0.104,0.0
366,Cerámico portante 19x12x39,2.37,5.58,0.15,13.22,159.0,0.0,0.0,0.172,33.06
367,Cerámico portante 19x12x39,2.98,4.41,0.15,13.14,166.0,8.54,32.85,0.158,0.0
368,Cerámico portante 19x12x39,1.95,3.35,0.15,6.53,88.0,0.0,0.0,0.085,16.33
369,Cerámico portante 19x12x39,2.32,3.76,0.15,8.72,111.0,0.0,0.0,0.113,21.81
370,Cerámico portante 19x12x39,1.95,2.79,0.15,5.44,73.0,0.0,0.0,0.071,13.6
371,Cerámico portante 19x12x39,2.18,5.52,0.15,12.03,143.0,0.0,0.0,0.156,30.08
372,Cerámico portante 19x12x39,2.71,3.84,0.15,10.41,138.0,6.76,26.02,0.125,0.0
373,Cerámico portante 19x12x39,2.02,2.22,0.15,4.48,54.0,2.91,11.21,0.054,0.0
374,Cerámico portante 19x12x39,2.45,4.91,0.15,12.03,138.0,0.0,0.0,0.156,30.07
375,Cerámico portante 19x12x39,2.96,3.95,0.15,11.69,135.0,7.6,29.23,0.14,0.0
376,Cerámico portante 19x12x39,2.45,4.36,0.15,10.68,133.0,0.0,0.0,0.139,26.71
377,Cerámico portante 19x12x39,2.85,4.55,0.15,12.97,170.0,0.0,0.0,0.169,32.42
378,Cerámico portante 19x12x39,1.81,2.99,0.15,5.41,70.0,0.0,0.0,0.07,13.53
379,Cerámico portante 19x12x39,2.03,5.52,0.15,11.21,144.0,0.0,0.0,0.146,28.01
380,Cerámico portante 19x12x39,2.78,4.46,0.15,12.4,160.0,0.0,0.0,0.161,31.0
381,Cerámico portante 19x12x39,2.47,2.02,0.15,4.99,65.0,3.24,12.47,0.06,0.0
382,Cerámico portante 19x12x39,2.04,5.83,0.15,11.89,144.0,0.0,0.0,0.155,29.73
383,Cerámico portante 19x12x39,2.17,5.51,0.15,11.96,164.0,7.77,29.89,0.143,0.0
384,Cerámico portante 19x12x39,2.67,5.54,0.15,14.79,188.0,0.0,0.0,0.192,36.98
385,Cerámico portante 19x12x39,1.8,2.71,0.15,4.88,55.0,3.17,12.2,0.059,0.0
386,Cerámico portante 19x12x39,2.75,2.37,0.15,6.52,82.0,0.0,0.0,0.085,16.29
387,Cerámico portante 19x12x39,2.67,2.42,0.15,6.46,76.0,0.0,0.0,0.084,16.15
388,Cerámico portante 19x12x39,2.52,4.71,0.15,11.87,157.0,0.0,0.0,0.154,29.67
389,Cerámico portante 19x12x39,1.89,2.23,0.15,4.21,50.0,2.74,10.54,0.051,0.0
390,Cerámico portante 19x12x39,2.79,4.08,0.15,11.38,138.0,7.4,28.46,0.137,0.0
391,Cerámico portante 19x12x39,2.25,2.25,0.15,5.06,67.0,0.0,0.0,0.066,12.66
392,Cerámico portante 19x12x39,2.92,4.57,0.15,13.34,164.0,8.67,33.36,0.16,0.0
393,Cerámico portante 19x12x39,2.01,4.74,0.15,9.53,130.0,0.0,0.0,0.124,23.82
394,Cerámico portante 19x12x39,2.51,2.74,0.15,6.88,83.0,0.0,0.0,0.089,17.19
395,Cerámico portante 19x12x39,2.64,4.34,0.15,11.46,145.0,7.45,28.64,0.137,0.0
396,Cerámico portante 19x12x39,2.16,5.76,0.15,12.44,148.0,8.09,31.1,0.149,0.0
397,Cerámico portante 19x12x39,2.25,3.85,0.15,8.66,107.0,5.63,21.66,0.104,0.0
398,Cerámico portante 19x12x39,1.96,2.32,0.15,4.55,59.0,0.0,0.0,0.059,11.37
399,Cerámico portante 19x12x39,2.74,2.03,0.15,5.56,63.0,3.62,13.91,0.067,0.0
400,Cerámico portante 19x12x39,1.96,5.01,0.15,9.82,126.0,0.0,0.0,0.128,24.55
401,Cerámico portante 19x12x39,2.14,2.18,0.15,4.67,52.0,0.0,0.0,0.061,11.66
402,Cerámico portante 19x12x39,2.89,3.0,0.15,8.67,103.0,5.64,21.68,0.104,0.0
403,Cerámico portante 19x12x39,2.12,2.63,0.15,5.58,74.0,3.62,13.94,0.067,0.0
404,Cerámico portante 19x12x39,2.89,2.56,0.15,7.4,93.0,0.0,0.0,0.096,18.5
405,Cerámico portante 19x12x39,1.9,2.95,0.15,5.6,73.0,3.64,14.01,0.067,0.0
406,Cerámico portante 19x12x39,2.47,5.75,0.15,14.2,161.0,0.0,0.0,0.185,35.51
407,Cerámico portante 19x12x39,2.39,5.92,0.15,14.15,164.0,9.2,35.37,0.17,0.0
408,Cerámico portante 19x12x39,2.17,5.79,0.15,12.56,171.0,8.17,31.41,0.151,0.0
409,Cerámico portante 19x12x39,2.66,3.67,0.15,9.76,111.0,0.0,0.0,0.127,24.41
410,Cerámico portante 19x12x39,1.94,5.44,0.15,10.55,137.0,0.0,0.0,0.137,26.38
411,Cerámico portante 19x12x39,2.45,2.33,0.15,5.71,70.0,3.71,14.27,0.069,0.0
412,Cerámico portante 19x12x39,1.97,4.66,0.15,9.18,108.0,5.97,22.95,0.11,0.0
413,Cerámico portante 19x12x39,2.29,4.6,0.15,10.53,132.0,0.0,0.0,0.137,26.33
414,Cerámico portante 19x12x39,2.23,5.91,0.15,13.18,174.0,0.0,0.0,0.171,32.95
415,Cerámico portante 19x12x39,2.45,5.03,0.15,12.32,161.0,0.0,0.0,0.16,30.81
416,Cerámico portante 19x12x39,2.86,5.48,0.15,15.67,185.0,10.19,39.18,0.188,0.0
417,Cerámico portante 19x12x39,2.73,2.11,0.15,5.76,65.0,0.0,0.0,0.075,14.4
418,Cerámico portante 19x12x39,2.27,5.19,0.15,11.78,143.0,7.66,29.45,0.141,0.0
419,Cerámico portante 19x12x39,2.33,2.78,0.15,6.48,75.0,4.21,16.19,0.078,0.0
420,Cerámico portante 19x12x39,2.71,3.11,0.15,8.43,101.0,0.0,0.0,0.11,21.07
421,Cerámico portante 19x12x39,2.42,3.79,0.15,9.17,115.0,0.0,0.0,0.119,22.93
422,Cerámico portante 19x12x39,2.89,3.11,0.15,8.99,123.0,5.84,22.47,0.108,0.0
423,Cerámico portante 19x12x39,1.84,3.45,0.15,6.35,83.0,4.13,15.87,0.076,0.0
424,Cerámico portante 19x12x39,2.33,4.46,0.15,10.39,119.0,6.75,25.98,0.125,0.0
425,Cerámico portante 19x12x39,2.41,5.87,0.15,14.15,173.0,9.2,35.37,0.17,0.0
426,Cerámico portante 19x12x39,3.0,5.92,0.15,17.76,228.0,0.0,0.0,0.231,44.4
427,Cerámico portante 19x12x39,2.43,4.88,0.15,11.86,159.0,7.71,29.65,0.142,0.0
428,Cerámico portante 19x12x39,2.2,3.19,0.15,7.02,95.0,4.56,17.55,0.084,0.0
429,Cerámico portante 19x12x39,2.18,3.88,0.15,8.46,112.0,0.0,0.0,0.11,21.15
430,Cerámico portante 19x12x39,2.11,5.28,0.15,11.14,149.0,7.24,27.85,0.134,0.0
431,Cerámico portante 19x12x39,2.79,2.4,0.15,6.7,79.0,0.0,0.0,0.087,16.74
432,Cerámico portante 19x12x39,2.69,2.77,0.15,7.45,95.0,4.84,18.63,0.089,0.0
433,Cerámico portante 19x12x39,2.81,3.89,0.15,10.93,149.0,7.11,27.33,0.131,0.0
434,Cerámico portante 19x12x39,2.69,2.43,0.15,6.54,78.0,0.0,0.0,0.085,16.34
435,Cerámico portante 19x12x39,2.59,5.97,0.15,15.46,176.0,10.05,38.66,0.186,0.0
436,Cerámico portante 19x12x39,2.42,3.22,0.15,7.79,91.0,0.0,0.0,0.101,19.48
437,Cerámico portante 19x12x39,2.29,5.04,0.15,11.54,155.0,7.5,28.85,0.138,0.0
438,Cerámico portante 19x12x39,1.87,5.6,0.15,10.47,134.0,6.81,26.18,0.126,0.0
439,Cerámico portante 19x12x39,2.47,2.44,0.15,6.03,74.0,3.92,15.07,0.072,0.0
440,Cerámico portante 19x12x39,2.26,2.52,0.15,5.7,69.0,0.0,0.0,0.074,14.24
441,Cerámico portante 19x12x39,1.82,3.69,0.15,6.72,76.0,0.0,0.0,0.087,16.79
442,Cerámico portante 19x12x39,2.65,5.89,0.15,15.61,207.0,0.0,0.0,0.203,39.02
443,Cerámico portante 19x12x39,1.82,5.85,0.15,10.65,139.0,0.0,0.0,0.138,26.62
444,Cerámico portante 19x12x39,2.06,2.48,0.15,5.11,58.0,0.0,0.0,0.066,12.77
445,Cerámico portante 19x12x39,1.81,3.88,0.15,7.02,84.0,4.56,17.56,0.084,0.0
446,Cerámico portante 19x12x39,2.07,4.92,0.15,10.18,129.0,6.62,25.46,0.122,0.0
447,Cerámico portante 19x12x39,2.85,3.32,0.15,9.46,114.0,0.0,0.0,0.123,23.66
448,Cerámico portante 19x12x39,2.75,2.14,0.15,5.89,74.0,0.0,0.0,0.077,14.71
449,Cerámico portante 19x12x39,2.43,2.25,0.15,5.47,72.0,3.55,13.67,0.066,0.0
450,Cerámico portante 19x12x39,2.69,4.1,0.15,11.03,124.0,7.17,27.57,0.132,0.0
451,Cerámico portante 19x12x39,2.85,4.29,0.15,12.23,153.0,0.0,0.0,0.159,30.57
452,Cerámico portante 19x12x39,2.32,5.1,0.15,11.83,150.0,0.0,0.0,0.154,29.58
453,Cerámico portante 19x12x39,2.53,4.53,0.15,11.46,145.0,0.0,0.0,0.149,28.65
454,Cerámico portante 19x12x39,2.41,2.42,0.15,5.83,71.0,3.79,14.58,0.07,0.0
455,Cerámico portante 19x12x39,2.12,3.09,0.15,6.55,81.0,0.0,0.0,0.085,16.38
456,Cerámico portante 19x12x39,2.56,2.28,0.15,5.84,69.0,0.0,0.0,0.076,14.59
457,Cerámico portante 19x12x39,2.52,5.63,0.15,14.19,168.0,0.0,0.0,0.184,35.47
458,Cerámico portante 19x12x39,2.2,3.93,0.15,8.65,101.0,5.62,21.62,0.104,0.0
459,Cerámico portante 19x12x39,2.05,4.07,0.15,8.34,93.0,0.0,0.0,0.108,20.86
460,Cerámico portante 19x12x39,2.8,5.38,0.15,15.06,180.0,0.0,0.0,0.196,37.66
461,Cerámico portante 19x12x39,2.49,4.05,0.15,10.08,120.0,6.55,25.21,0.121,0.0
462,Cerámico portante 19x12x39,1.9,4.47,0.15,8.49,97.0,0.0,0.0,0.11,21.23
463,Cerámico portante 19x12x39,2.49,2.12,0.15,5.28,68.0,3.43,13.2,0.063,0.0
464,Cerámico portante 19x12x39,1.96,3.1,0.15,6.08,74.0,3.95,15.19,0.073,0.0
465,Cerámico portante 19x12x39,2.86,4.68,0.15,13.38,159.0,0.0,0.0,0.174,33.46
466,Cerámico portante 19x12x39,2.66,5.82,0.15,15.48,202.0,10.06,38.7,0.186,0.0
467,Cerámico portante 19x12x39,2.8,2.16,0.15,6.05,81.0,3.93,15.12,0.073,0.0
468,Cerámico portante 19x12x39,2.26,3.82,0.15,8.63,105.0,0.0,0.0,0.112,21.58
469,Cerámico portante 19x12x39,2.7,2.28,0.15,6.16,70.0,0.0,0.0,0.08,15.39
470,Cerámico portante 19x12x39,2.3,4.58,0.15,10.53,135.0,6.85,26.33,0.126,0.0
471,Cerámico portante 19x12x39,1.81,4.54,0.15,8.22,111.0,5.34,20.54,0.099,0.0
472,Cerámico portante 19x12x39,2.67,2.48,0.15,6.62,89.0,4.3,16.55,0.079,0.0
473,Cerámico portante 19x12x39,2.99,5.28,0.15,15.79,205.0,0.0,0.0,0.205,39.47
474,Cerámico portante 19x12x39,2.38,4.31,0.15,10.26,116.0,6.67,25.64,0.123,0.0
475,Cerámico portante 19x12x39,2.78,2.27,0.15,6.31,77.0,4.1,15.78,0.076,0.0
476,Cerámico portante 19x12x39,2.61,3.1,0.15,8.09,97.0,0.0,0.0,0.105,20.23
477,Cerámico portante 19x12x39,2.79,5.43,0.15,15.15,205.0,0.0,0.0,0.197,37.87
478,Cerámico portante 19x12x39,1.81,3.48,0.15,6.3,71.0,0.0,0.0,0.082,15.75
479,Cerámico portante 19x12x39,2.0,4.58,0.15,9.16,104.0,0.0,0.0,0.119,22.9
480,Cerámico portante 19x12x39,1.99,2.1,0.15,4.18,53.0,2.72,10.45,0.05,0.0
481,Cerámico portante 19x12x39,1.89,3.64,0.15,6.88,82.0,4.47,17.2,0.083,0.0
482,Cerámico portante 19x12x39,2.24,2.87,0.15,6.43,88.0,0.0,0.0,0.084,16.07
483,Cerámico portante 19x12x39,1.97,3.94,0.15,7.76,87.0,5.05,19.4,0.093,0.0
484,Cerámico portante 19x12x39,2.26,2.16,0.15,4.88,55.0,3.17,12.2,0.059,0.0
485,Cerámico portante 19x12x39,2.18,2.59,0.15,5.65,70.0,0.0,0.0,0.073,14.12
486,Cerámico portante 19x12x39,1.94,5.82,0.15,11.29,135.0,0.0,0.0,0.147,28.23
487,Cerámico portante 19x12x39,2.79,5.94,0.15,16.57,198.0,0.0,0.0,0.215,41.43
488,Cerámico portante 19x12x39,1.84,5.88,0.15,10.82,142.0,0.0,0.0,0.141,27.05
489,Cerámico portante 19x12x39,2.46,4.17,0.15,10.26,134.0,6.67,25.65,0.123,0.0
490,Cerámico portante 19x12x39,2.79,4.84,0.15,13.5,157.0,0.0,0.0,0.176,33.76
491,Cerámico portante 19x12x39,2.96,4.23,0.15,12.52,151.0,8.14,31.3,0.15,0.0
492,Cerámico portante 19x12x39,2.78,2.83,0.15,7.87,103.0,5.11,19.67,0.094,0.0
493,Cerámico portante 19x12x39,2.55,4.28,0.15,10.91,139.0,0.0,0.0,0.142,27.28
494,Cerámico portante 19x12x39,1.85,3.9,0.15,7.22,90.0,0.0,0.0,0.094,18.04
495,Cerámico portante 19x12x39,2.52,3.41,0.15,8.59,106.0,5.59,21.48,0.103,0.0
496,Cerámico portante 19x12x39,2.75,3.1,0.15,8.52,114.0,5.54,21.31,0.102,0.0
497,Cerámico portante 19x12x39,2.94,4.05,0.15,11.91,136.0,7.74,29.77,0.143,0.0
498,Cerámico portante 19x12x39,2.16,3.97,0.15,8.58,107.0,5.57,21.44,0.103,0.0
499,Cerámico portante 19x12x39,2.9,3.45,0.15,10.01,130.0,6.5,25.01,0.12,0.0
500,Cerámico portante 19x12x39,2.33,4.41,0.15,10.28,130.0,0.0,0.0,0.134,25.69
501,Cerámico portante 19x12x39,2.04,2.44,0.15,4.98,66.0,3.24,12.44,0.06,0.0
502,Cerámico portante 19x12x39,2.16,2.96,0.15,6.39,76.0,4.16,15.98,0.077,0.0
503,Cerámico portante 19x12x39,2.41,4.51,0.15,10.87,147.0,7.06,27.17,0.13,0.0
504,Cerámico portante 19x12x39,2.92,2.12,0.15,6.19,83.0,0.0,0.0,0.08,15.48
505,Cerámico portante 19x12x39,2.16,3.43,0.15,7.41,98.0,0.0,0.0,0.096,18.52
506,Cerámico portante 19x12x39,2.75,5.96,0.15,16.39,192.0,10.65,40.98,0.197,0.0
507,Cerámico portante 19x12x39,1.85,3.37,0.15,6.23,80.0,4.05,15.59,0.075,0.0
508,Cerámico portante 19x12x39,2.7,5.08,0.15,13.72,176.0,8.92,34.29,0.165,0.0
509,Cerámico portante 19x12x39,2.54,2.35,0.15,5.97,74.0,3.88,14.92,0.072,0.0
510,Cerámico portante 19x12x39,2.62,2.1,0.15,5.5,66.0,0.0,0.0,0.072,13.76
511,Cerámico portante 19x12x39,2.77,5.79,0.15,16.04,183.0,0.0,0.0,0.208,40.1
512,Cerámico portante 19x12x39,2.16,2.31,0.15,4.99,62.0,0.0,0.0,0.065,12.47
513,Cerámico portante 19x12x39,2.37,2.58,0.15,6.11,79.0,0.0,0.0,0.079,15.29
514,Cerámico portante 19x12x39,2.14,5.21,0.15,11.15,151.0,0.0,0.0,0.145,27.87
515,Cerámico portante 19x12x39,2.07,4.56,0.15,9.44,129.0,6.14,23.6,0.113,0.0
516,Cerámico portante 19x12x39,2.58,2.49,0.15,6.42,86.0,4.18,16.06,0.077,0.0
517,Cerámico portante 19x12x39,2.55,2.29,0.15,5.84,75.0,0.0,0.0,0.076,14.6
518,Cerámico portante 19x12x39,2.08,3.21,0.15,6.68,79.0,0.0,0.0,0.087,16.69
519,Cerámico portante 19x12x39,2.73,3.09,0.15,8.44,105.0,5.48,21.09,0.101,0.0
520,Cerámico portante 19x12x39,2.79,4.89,0.15,13.64,162.0,0.0,0.0,0.177,34.11
521,Cerámico portante 19x12x39,2.03,5.13,0.15,10.41,135.0,6.77,26.03,0.125,0.0
522,Cerámico portante 19x12x39,2.5,3.87,0.15,9.68,117.0,6.29,24.19,0.116,0.0
523,Cerámico portante 19x12x39,2.18,2.41,0.15,5.25,63.0,0.0,0.0,0.068,13.13
524,Cerámico portante 19x12x39,2.84,4.29,0.15,12.18,164.0,7.92,30.46,0.146,0.0
525,Cerámico portante 19x12x39,2.89,3.51,0.15,10.14,138.0,6.59,25.36,0.122,0.0
526,Cerámico portante 19x12x39,1.85,4.26,0.15,7.88,106.0,0.0,0.0,0.102,19.7
